Title 	Creator	Date	Description	Extent	Digital Collection (Relation)	Website	Contributing Institution (Publisher)	Rights	Language	Digitization Specifications	Type 	Format	Media Type	Resource Identifier	Filename
"Diary Notebook of John Ruskin, 1835"	"Ruskin, John, 1819-1900"	1835	"Maroon leather bound note book ; pages numbered by hand 1 - 172. Mainly inscribed ink including sketches; Holograph account of John Ruskin's 1835 tour abroad, mainly devoted to geology and detailing his journey with his parents through France, Switzerland and Italy."	172 p. : ill. ; 180 x 115mm	Victorian Lives and Letters Consortium	http://tundra.csd.sc.edu/vllc/	"Ruskin Library and Research Centre, University of Lancaster"	"Copyright Ruskin Foundation (Ruskin Library, Lancaster University)"	English 	Archival Master file is a TIFF 	Text	image/jpeg	Manuscripts	RF_MS_1	
Cover														RF_MS_1_001	RF_MS_1_001.jpg
Front pastedown														RF_MS_1_002	RF_MS_1_002.jpg
Page 1														RF_MS_1_003	RF_MS_1_003.jpg
Page 2														RF_MS_1_004	RF_MS_1_004.jpg
Page 3														RF_MS_1_005	RF_MS_1_005.jpg
Page 4														RF_MS_1_006	RF_MS_1_006.jpg
Page 5														RF_MS_1_007	RF_MS_1_007.jpg
Page 6														RF_MS_1_008	RF_MS_1_008.jpg
Page 7														RF_MS_1_009	RF_MS_1_009.jpg
Page 8														RF_MS_1_010	RF_MS_1_010.jpg
Page 9														RF_MS_1_011	RF_MS_1_011.jpg
Page 10														RF_MS_1_012	RF_MS_1_012.jpg
Page 11														RF_MS_1_013	RF_MS_1_013.jpg
Page 12														RF_MS_1_014	RF_MS_1_014.jpg
Page 13														RF_MS_1_015	RF_MS_1_015.jpg
Page 14														RF_MS_1_016	RF_MS_1_016.jpg
Page 15														RF_MS_1_017	RF_MS_1_017.jpg
Page 16														RF_MS_1_018	RF_MS_1_018.jpg
Page 17														RF_MS_1_019	RF_MS_1_019.jpg
Page 18														RF_MS_1_020	RF_MS_1_020.jpg
Page 19														RF_MS_1_021	RF_MS_1_021.jpg
Page 20														RF_MS_1_022	RF_MS_1_022.jpg
Page 21														RF_MS_1_023	RF_MS_1_023.jpg
Page 22														RF_MS_1_024	RF_MS_1_024.jpg
Page 23														RF_MS_1_025	RF_MS_1_025.jpg
Page 24														RF_MS_1_026	RF_MS_1_026.jpg
Page 25														RF_MS_1_027	RF_MS_1_027.jpg
Page 26														RF_MS_1_028	RF_MS_1_028.jpg
Page 27														RF_MS_1_029	RF_MS_1_029.jpg
Page 28														RF_MS_1_030	RF_MS_1_030.jpg
Page 29														RF_MS_1_031	RF_MS_1_031.jpg
Page 30														RF_MS_1_032	RF_MS_1_032.jpg
Page 31														RF_MS_1_033	RF_MS_1_033.jpg
Page 32														RF_MS_1_034	RF_MS_1_034.jpg
Page 33														RF_MS_1_035	RF_MS_1_035.jpg
Page 34														RF_MS_1_036	RF_MS_1_036.jpg
Page 35														RF_MS_1_037	RF_MS_1_037.jpg
Page 36														RF_MS_1_038	RF_MS_1_038.jpg
Page 37														RF_MS_1_039	RF_MS_1_039.jpg
Page 38														RF_MS_1_040	RF_MS_1_040.jpg
Page 39														RF_MS_1_041	RF_MS_1_041.jpg
Page 40														RF_MS_1_042	RF_MS_1_042.jpg
Page 41														RF_MS_1_043	RF_MS_1_043.jpg
Page 42														RF_MS_1_044	RF_MS_1_044.jpg
Page 43														RF_MS_1_045	RF_MS_1_045.jpg
Page 44														RF_MS_1_046	RF_MS_1_046.jpg
Page 45														RF_MS_1_047	RF_MS_1_047.jpg
Page 46														RF_MS_1_048	RF_MS_1_048.jpg
Page 47														RF_MS_1_049	RF_MS_1_049.jpg
Page 48														RF_MS_1_050	RF_MS_1_050.jpg
Page 49														RF_MS_1_051	RF_MS_1_051.jpg
Page 50														RF_MS_1_052	RF_MS_1_052.jpg
Page 51														RF_MS_1_053	RF_MS_1_053.jpg
Page 52														RF_MS_1_054	RF_MS_1_054.jpg
Page 53														RF_MS_1_055	RF_MS_1_055.jpg
Page 54														RF_MS_1_056	RF_MS_1_056.jpg
Page 55														RF_MS_1_057	RF_MS_1_057.jpg
Page 56														RF_MS_1_058	RF_MS_1_058.jpg
Page 57														RF_MS_1_059	RF_MS_1_059.jpg
Page 58														RF_MS_1_060	RF_MS_1_060.jpg
Page 59														RF_MS_1_061	RF_MS_1_061.jpg
Page 60														RF_MS_1_062	RF_MS_1_062.jpg
Page 61														RF_MS_1_063	RF_MS_1_063.jpg
Page 62														RF_MS_1_064	RF_MS_1_064.jpg
Page 63														RF_MS_1_065	RF_MS_1_065.jpg
Page 64														RF_MS_1_066	RF_MS_1_066.jpg
Page 65														RF_MS_1_067	RF_MS_1_067.jpg
Page 66														RF_MS_1_068	RF_MS_1_068.jpg
Page 67														RF_MS_1_069	RF_MS_1_069.jpg
Page 68														RF_MS_1_070	RF_MS_1_070.jpg
Page 69														RF_MS_1_071	RF_MS_1_071.jpg
Page 70														RF_MS_1_072	RF_MS_1_072.jpg
Page 71														RF_MS_1_073	RF_MS_1_073.jpg
Page 72														RF_MS_1_074	RF_MS_1_074.jpg
Page 73														RF_MS_1_075	RF_MS_1_075.jpg
Page 74														RF_MS_1_076	RF_MS_1_076.jpg
Page 75														RF_MS_1_077	RF_MS_1_077.jpg
Page 76														RF_MS_1_078	RF_MS_1_078.jpg
Page 77														RF_MS_1_079	RF_MS_1_079.jpg
Page 78														RF_MS_1_080	RF_MS_1_080.jpg
Page 79														RF_MS_1_081	RF_MS_1_081.jpg
Page 80														RF_MS_1_082	RF_MS_1_082.jpg
Page 81														RF_MS_1_083	RF_MS_1_083.jpg
Page 82														RF_MS_1_084	RF_MS_1_084.jpg
Page 83														RF_MS_1_085	RF_MS_1_085.jpg
Page 84														RF_MS_1_086	RF_MS_1_086.jpg
Page 85														RF_MS_1_087	RF_MS_1_087.jpg
Page 86														RF_MS_1_088	RF_MS_1_088.jpg
Page 87														RF_MS_1_089	RF_MS_1_089.jpg
